date,target,item_id
11/27/2011,13700,Close
11/28/2011,13440,Close
11/29/2011,13350,Close
11/30/2011,13400,Close
12/1/2011,13500,Close
12/3/2011,13650,Close
12/4/2011,13610,Close
12/7/2011,13650,Close
12/8/2011,13550,Close
12/10/2011,13450,Close
12/11/2011,13450,Close
12/12/2011,13530,Close
12/13/2011,13630,Close
12/14/2011,13770,Close
12/15/2011,13710,Close
12/17/2011,13840,Close
12/18/2011,14080,Close
12/19/2011,14500,Close
12/20/2011,15300,Close
12/21/2011,15150,Close
12/22/2011,14230,Close
12/24/2011,14350,Close
12/25/2011,14800,Close
12/26/2011,15250,Close
12/27/2011,15150,Close
12/28/2011,15200,Close
12/29/2011,15220,Close
12/31/2011,15550,Close
1/1/2012,15900,Close
1/2/2012,17400,Close
1/3/2012,16200,Close
1/4/2012,15800,Close
1/5/2012,15980,Close
1/7/2012,15970,Close
1/8/2012,16550,Close
1/9/2012,16900,Close
1/10/2012,16900,Close
1/11/2012,16920,Close
1/12/2012,16950,Close
1/16/2012,16900,Close
1/17/2012,17400,Close
1/18/2012,18200,Close
1/19/2012,18200,Close
1/21/2012,19000,Close
1/23/2012,21000,Close
1/25/2012,19000,Close
1/26/2012,17000,Close
1/28/2012,17700,Close
1/29/2012,18300,Close
1/30/2012,18300,Close
2/1/2012,18300,Close
2/4/2012,17750,Close
2/5/2012,18500,Close
2/6/2012,18800,Close
2/7/2012,18900,Close
2/8/2012,19200,Close
2/12/2012,19400,Close
2/13/2012,19000,Close
2/14/2012,19350,Close
2/15/2012,19500,Close
2/16/2012,19600,Close
2/18/2012,19400,Close
2/19/2012,19200,Close
2/20/2012,19400,Close
2/21/2012,19450,Close
2/22/2012,19350,Close
2/23/2012,19350,Close
2/26/2012,19300,Close
2/27/2012,18700,Close
2/28/2012,18500,Close
2/29/2012,19200,Close
3/1/2012,19250,Close
3/3/2012,19250,Close
3/4/2012,19000,Close
3/5/2012,19100,Close
3/6/2012,18950,Close
3/7/2012,18850,Close
3/8/2012,19000,Close
3/10/2012,18800,Close
3/11/2012,18700,Close
3/12/2012,18850,Close
3/13/2012,18800,Close
3/14/2012,18600,Close
3/15/2012,18500,Close
3/17/2012,19250,Close
3/18/2012,19150,Close
3/25/2012,18900,Close
3/26/2012,19000,Close
3/28/2012,19200,Close
3/29/2012,19200,Close
4/2/2012,19120,Close
4/3/2012,19000,Close
4/4/2012,18950,Close
4/5/2012,19000,Close
4/7/2012,19100,Close
4/8/2012,19010,Close
4/9/2012,19000,Close
4/10/2012,18650,Close
4/11/2012,18800,Close
4/12/2012,18840,Close
4/14/2012,18800,Close
4/15/2012,17300,Close
4/16/2012,17800,Close
4/17/2012,18000,Close
4/18/2012,18240,Close
4/19/2012,18180,Close
4/21/2012,18030,Close
4/22/2012,17950,Close
4/23/2012,17790,Close
4/24/2012,17580,Close
4/26/2012,17480,Close
4/28/2012,16650,Close
4/29/2012,17340,Close
4/30/2012,17250,Close
5/1/2012,17100,Close
5/2/2012,17090,Close
5/3/2012,17050,Close
5/5/2012,16780,Close
5/6/2012,16720,Close
5/7/2012,16640,Close
5/8/2012,16550,Close
5/9/2012,16500,Close
5/10/2012,16190,Close
5/12/2012,15890,Close
5/13/2012,15750,Close
5/14/2012,16250,Close
5/15/2012,16690,Close
5/16/2012,16380,Close
5/17/2012,16650,Close
5/19/2012,16850,Close
5/20/2012,16760,Close
5/21/2012,16850,Close
5/22/2012,16690,Close
5/23/2012,16710,Close
5/24/2012,17600,Close
5/26/2012,17670,Close
5/27/2012,17200,Close
5/28/2012,17300,Close
5/29/2012,17600,Close
5/30/2012,17680,Close
5/31/2012,17700,Close
6/2/2012,17770,Close
6/5/2012,17680,Close
6/6/2012,17700,Close
6/7/2012,17850,Close
6/9/2012,18250,Close
6/10/2012,18210,Close
6/11/2012,18150,Close
6/12/2012,17900,Close
6/13/2012,17600,Close
6/14/2012,17800,Close
6/16/2012,17850,Close
6/17/2012,18000,Close
6/19/2012,18100,Close
6/20/2012,18280,Close
6/21/2012,18300,Close
6/23/2012,18800,Close
6/24/2012,19050,Close
6/25/2012,18950,Close
6/26/2012,19200,Close
6/27/2012,19400,Close
6/28/2012,20150,Close
6/29/2012,20150,Close
6/30/2012,19940,Close
7/1/2012,19530,Close
7/2/2012,19430,Close
7/3/2012,19760,Close
7/4/2012,19680,Close
7/7/2012,19460,Close
7/8/2012,19100,Close
7/9/2012,19130,Close
7/10/2012,19360,Close
7/11/2012,19140,Close
7/12/2012,19220,Close
7/14/2012,19150,Close
7/15/2012,19020,Close
7/16/2012,19200,Close
7/17/2012,19090,Close
7/18/2012,19150,Close
7/19/2012,19100,Close
7/21/2012,19090,Close
7/22/2012,18990,Close
7/23/2012,19080,Close
7/24/2012,19210,Close
7/25/2012,19290,Close
7/26/2012,19570,Close
7/28/2012,19700,Close
7/29/2012,19470,Close
7/30/2012,19680,Close
7/31/2012,19710,Close
8/1/2012,20070,Close
8/2/2012,20190,Close
8/4/2012,20080,Close
8/5/2012,20440,Close
8/6/2012,21460,Close
8/7/2012,21980,Close
8/8/2012,20850,Close
8/9/2012,20950,Close
8/11/2012,21300,Close
8/12/2012,21480,Close
8/13/2012,21300,Close
8/14/2012,21210,Close
8/15/2012,21070,Close
8/16/2012,21260,Close
8/18/2012,21200,Close
8/21/2012,21290,Close
8/22/2012,21360,Close
8/23/2012,21630,Close
8/25/2012,21940,Close
8/26/2012,21730,Close
8/27/2012,21960,Close
8/28/2012,21940,Close
8/29/2012,21940,Close
9/1/2012,21800,Close
9/2/2012,21590,Close
9/3/2012,21730,Close
9/4/2012,21820,Close
9/5/2012,22180,Close
9/6/2012,22210,Close
9/8/2012,23020,Close
9/9/2012,24480,Close
9/10/2012,25600,Close
9/11/2012,24750,Close
9/13/2012,23910,Close
9/15/2012,24480,Close
9/16/2012,24470,Close
9/17/2012,24930,Close
9/18/2012,24360,Close
9/19/2012,24280,Close
9/20/2012,24380,Close
9/22/2012,24690,Close
9/23/2012,24760,Close
9/24/2012,25200,Close
9/25/2012,25480,Close
9/26/2012,26300,Close
9/27/2012,26900,Close
9/29/2012,28440,Close
9/30/2012,29800,Close
10/1/2012,34700,Close
10/2/2012,36100,Close
10/3/2012,34000,Close
10/4/2012,30000,Close
10/6/2012,30300,Close
10/7/2012,30000,Close
10/8/2012,33400,Close
10/9/2012,33000,Close
10/10/2012,33000,Close
10/11/2012,33250,Close
10/13/2012,33950,Close
10/14/2012,34000,Close
10/15/2012,35200,Close
10/16/2012,36000,Close
10/17/2012,33350,Close
10/18/2012,35300,Close
10/20/2012,36000,Close
10/21/2012,35400,Close
10/22/2012,36000,Close
10/23/2012,32700,Close
10/24/2012,34000,Close
10/25/2012,34000,Close
10/26/2012,34000,Close
10/27/2012,33400,Close
10/28/2012,32900,Close
10/29/2012,33400,Close
10/30/2012,33000,Close
10/31/2012,32900,Close
11/1/2012,32900,Close
11/2/2012,32900,Close
11/3/2012,32900,Close
11/4/2012,29500,Close
11/5/2012,29500,Close
11/6/2012,32000,Close
11/7/2012,31800,Close
11/8/2012,31800,Close
11/9/2012,31800,Close
11/10/2012,31000,Close
11/11/2012,30700,Close
11/12/2012,30500,Close
11/13/2012,30000,Close
11/14/2012,29800,Close
11/15/2012,29800,Close
11/16/2012,29800,Close
11/17/2012,29400,Close
11/18/2012,28500,Close
11/19/2012,28000,Close
11/20/2012,26500,Close
11/21/2012,28400,Close
11/22/2012,29000,Close
11/23/2012,29000,Close
11/24/2012,29000,Close
11/25/2012,29000,Close
11/26/2012,28900,Close
11/27/2012,28000,Close
11/28/2012,29000,Close
11/29/2012,28700,Close
12/1/2012,29500,Close
12/2/2012,29300,Close
12/3/2012,29300,Close
12/4/2012,29100,Close
12/5/2012,29300,Close
12/6/2012,29300,Close
12/7/2012,29300,Close
12/8/2012,30500,Close
12/9/2012,29000,Close
12/10/2012,29800,Close
12/11/2012,30100,Close
12/12/2012,29950,Close
12/13/2012,30200,Close
12/15/2012,29700,Close
12/16/2012,30000,Close
12/17/2012,30330,Close
12/18/2012,31100,Close
12/19/2012,30850,Close
12/20/2012,31000,Close
12/22/2012,31700,Close
12/23/2012,32400,Close
12/24/2012,33320,Close
12/25/2012,33320,Close
12/26/2012,32750,Close
12/27/2012,32600,Close
12/29/2012,32100,Close
12/30/2012,32300,Close
12/31/2012,32400,Close
1/1/2013,32400,Close
1/2/2013,32450,Close
1/5/2013,32350,Close
1/6/2013,32460,Close
1/7/2013,32350,Close
1/8/2013,32660,Close
1/9/2013,32850,Close
1/10/2013,32800,Close
1/13/2013,32880,Close
1/14/2013,32900,Close
1/15/2013,33050,Close
1/16/2013,33050,Close
1/17/2013,33050,Close
1/19/2013,33400,Close
1/20/2013,34100,Close
1/21/2013,35150,Close
1/22/2013,36190,Close
1/23/2013,35600,Close
